# Time-averaged data for fix 4
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
35100 100
27 2.12 0.11498 0.0345
28 2.2 0.173206 0.071
29 2.28 0.265095 0.131
30 2.36 0.369081 0.2205
31 2.44 0.470658 0.3425
32 2.52 0.748681 0.5495
33 2.6 2.07768 1.161
34 2.68 2.61427 1.9785
35 2.76 3.66799 3.195
36 2.84 3.43294 4.4005
37 2.92 2.55914 5.3505
38 3 1.88472 6.089
39 3.08 1.67187 6.7795
40 3.16 1.43533 7.4035
41 3.24 1.34892 8.02
42 3.32 1.13153 8.563
43 3.4 0.945787 9.039
44 3.48 0.873406 9.4995
45 3.56 0.905277 9.999
46 3.64 0.905795 10.5215
47 3.72 0.870576 11.046
48 3.8 0.801699 11.55
49 3.88 0.812465 12.0825
50 3.96 0.84149 12.657
51 4.04 0.82116 13.2405
52 4.12 0.842355 13.863
53 4.2 0.878934 14.538
54 4.28 0.85955 15.2235
55 4.36 0.93765 15.9995
56 4.44 0.946112 16.8115
57 4.52 0.980375 17.6835
58 4.6 1.02147 18.6245
59 4.68 1.10273 19.676
60 4.76 1.0898 20.751
61 4.84 1.17419 21.9485
62 4.92 1.10738 23.1155
63 5 1.18983 24.4105
64 5.08 1.22786 25.79
65 5.16 1.24443 27.2325
66 5.24 1.24103 28.716
67 5.32 1.23198 30.234
68 5.4 1.25286 31.8245
69 5.48 1.28653 33.5065
70 5.56 1.24012 35.1755
71 5.64 1.17919 36.8085
72 5.72 1.13942 38.4315
73 5.8 1.11537 40.065
74 5.88 1.08324 41.6955
75 5.96 1.10544 43.405
76 6.04 1.0625 45.0925
77 6.12 1.08366 46.8595
78 6.2 1.02002 48.5665
79 6.28 1.07224 50.4075
80 6.36 1.0497 52.256
81 6.44 1.07722 54.201
82 6.52 1.00286 56.057
83 6.6 1.00401 57.961
84 6.68 0.983709 59.872
85 6.76 1.00078 61.863
86 6.84 0.990514 63.8805
87 6.92 1.01523 65.997
88 7 1.03341 68.2015
89 7.08 1.01523 70.417
90 7.16 1.00835 72.6675
91 7.24 1.03264 75.024
92 7.32 1.0327 77.433
93 7.4 1.05349 79.9445
