# Time-averaged data for fix 5
# TimeStep c_msd[4]
39540 151.148
39550 151.172
39560 151.187
39570 151.203
39580 151.22
39590 151.247
39600 151.271
39610 151.271
39620 151.258
39630 151.257
39640 151.238
39650 151.218
39660 151.224
39670 151.244
39680 151.253
39690 151.269
39700 151.281
39710 151.301
39720 151.343
39730 151.377
39740 151.365
39750 151.354
39760 151.361
39770 151.367
39780 151.383
39790 151.371
39800 151.343
39810 151.346
39820 151.348
39830 151.356
39840 151.36
39850 151.354
39860 151.363
39870 151.363
39880 151.361
39890 151.343
39900 151.331
39910 151.332
39920 151.33
39930 151.333
39940 151.337
39950 151.343
39960 151.34
39970 151.334
39980 151.315
39990 151.307
40000 151.307
40010 151.311
40020 151.334
40030 151.367
40040 151.41
40050 151.441
40060 151.467
40070 151.47
40080 151.478
40090 151.476
40100 151.485
40110 151.492
40120 151.52
40130 151.526
40140 151.523
40150 151.525
40160 151.53
40170 151.539
40180 151.552
40190 151.563
40200 151.571
40210 151.592
40220 151.621
40230 151.64
40240 151.65
40250 151.646
40260 151.649
40270 151.652
40280 151.646
40290 151.639
40300 151.634
40310 151.638
40320 151.65
40330 151.656
40340 151.658
40350 151.684
40360 151.721
40370 151.747
40380 151.765
40390 151.759
40400 151.756
40410 151.761
40420 151.776
40430 151.812
40440 151.827
40450 151.856
40460 151.882
40470 151.894
40480 151.907
40490 151.886
40500 151.848
40510 151.832
40520 151.82
40530 151.816
40540 151.823
40550 151.845
40560 151.864
40570 151.882
40580 151.891
40590 151.892
40600 151.871
40610 151.854
40620 151.838
40630 151.841
40640 151.838
40650 151.82
40660 151.826
40670 151.86
40680 151.891
40690 151.912
40700 151.943
40710 151.97
40720 151.987
40730 152.001
40740 152.012
40750 152.019
40760 152.013
40770 152.012
40780 152.011
40790 152.031
40800 152.022
40810 151.992
40820 151.981
40830 151.976
40840 151.992
40850 151.993
40860 151.974
40870 151.953
40880 151.942
40890 151.935
40900 151.943
40910 151.955
40920 151.964
40930 151.965
40940 151.981
40950 151.996
40960 152.013
40970 152.032
40980 152.055
40990 152.091
41000 152.097
41010 152.104
41020 152.093
41030 152.097
41040 152.11
41050 152.122
41060 152.122
41070 152.125
41080 152.125
41090 152.123
41100 152.124
41110 152.131
41120 152.141
41130 152.134
41140 152.108
41150 152.112
41160 152.1
41170 152.092
41180 152.099
41190 152.104
41200 152.116
41210 152.123
41220 152.126
41230 152.129
41240 152.142
41250 152.143
41260 152.142
41270 152.135
41280 152.12
41290 152.105
41300 152.094
41310 152.08
41320 152.063
41330 152.05
41340 152.064
41350 152.084
41360 152.102
41370 152.118
41380 152.132
41390 152.153
41400 152.18
41410 152.201
41420 152.205
41430 152.216
41440 152.217
41450 152.219
41460 152.236
41470 152.249
41480 152.243
41490 152.247
41500 152.239
41510 152.234
41520 152.245
41530 152.261
